,City,Project Name,Property Type,Locality,BHK,Area_SqFt_Number,Area_per_SqFt_Price,Affordability,Price_in_Lakh,City_Project
688,Kolkata,Unitech Vistas,Apartment,Rajarhat New Town,3,1226,8320,Highly Affordable,102,Kolkata - Unitech Vistas
689,Kolkata,Natural Haldiram Enclave,Apartment,Vip Road,3,1669,5700,Highly Affordable,95,Kolkata - Natural Haldiram Enclave
690,Kolkata,Unimark Sherwood Estate,Apartment,Narendrapur,2,1084,6458,Highly Affordable,70,Kolkata - Unimark Sherwood Estate
691,Kolkata,Shrachi Greenwood Elements,Apartment,Rajarhat New Town,2,1334,6522,Highly Affordable,87,Kolkata - Shrachi Greenwood Elements
692,Kolkata,Merlin Verve,Apartment,New Alipore,3,946,13224,Highly Affordable,125,Kolkata - Merlin Verve
693,Kolkata,Mayfair Residency,Apartment,Em Bypass,2,850,5600,Highly Affordable,47,Kolkata - Mayfair Residency
694,Kolkata,Deeshari Megacity Phase II,Apartment,Rajpur Chowhati,2,785,3822,Highly Affordable,30,Kolkata - Deeshari Megacity Phase II
695,Kolkata,Godrej Blue,Apartment,B L Saha Road,3,901,26637,Highly Affordable,240,Kolkata - Godrej Blue
696,Kolkata,Unimark Kendriya Vihar,Apartment,Dum Dum,2,900,6111,Highly Affordable,55,Kolkata - Unimark Kendriya Vihar
697,Kolkata,Anik One Rajarhat,Apartment,Rajarhat,4,3029,15021,Moderately Affordable,455,Kolkata - Anik One Rajarhat
